Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,44.750000,45.099998,43.250000,44.450001,44.450001,39358606
2021-01-12,44.000000,48.450001,43.500000,47.150002,47.150002,90521255
2021-01-13,47.750000,47.799999,45.150002,46.049999,46.049999,56558691
2021-01-14,46.250000,47.349998,45.799999,46.250000,46.250000,29310346
2021-01-15,46.400002,49.549999,45.849998,48.450001,48.450001,99486620
2021-01-18,48.650002,48.750000,45.799999,46.650002,46.650002,51656962
2021-01-19,47.099998,50.700001,47.099998,50.150002,50.150002,72082670
2021-01-20,50.750000,52.450001,49.450001,51.450001,51.450001,98044307
2021-01-21,51.950001,52.000000,48.799999,49.700001,49.700001,55907468
2021-01-22,50.000000,50.750000,48.299999,49.500000,49.500000,55567022
2021-01-25,50.299999,50.650002,47.549999,48.049999,48.049999,37299052
2021-01-27,48.000000,49.200001,46.900002,47.799999,47.799999,37095806
2021-01-28,47.099998,49.150002,46.950001,47.900002,47.900002,50095946
2021-01-29,48.500000,49.299999,46.950001,47.200001,47.200001,42499626
2021-02-01,45.799999,47.150002,43.750000,46.599998,46.599998,91266329
2021-02-02,47.150002,48.950001,46.549999,47.700001,47.700001,56064941
2021-02-03,48.200001,48.299999,47.099998,47.650002,47.650002,28568238
2021-02-04,47.700001,49.500000,47.349998,49.049999,49.049999,41320998
2021-02-05,49.500000,50.799999,48.049999,48.299999,48.299999,61029118
2021-02-08,48.950001,49.400002,48.599998,49.150002,49.150002,25004704
2021-02-09,49.400002,52.200001,48.299999,50.000000,50.000000,79600142
2021-02-10,50.450001,51.000000,49.500000,50.549999,50.549999,39925669
2021-02-11,50.599998,53.000000,50.099998,52.549999,52.549999,68713073
2021-02-12,52.849998,52.950001,51.450001,52.099998,52.099998,45538017
2021-02-15,52.599998,54.500000,52.000000,54.099998,54.099998,63488266
2021-02-16,54.450001,54.599998,52.700001,53.849998,53.849998,46908035
2021-02-17,53.799999,57.500000,52.900002,56.400002,56.400002,84077529
2021-02-18,56.799999,58.900002,55.900002,58.099998,58.099998,64960498
2021-02-19,58.500000,66.800003,57.599998,62.400002,62.400002,261417989
2021-02-22,63.000000,63.849998,60.700001,61.500000,61.500000,105148761
2021-02-23,61.400002,63.349998,61.099998,61.400002,61.400002,61275241
2021-02-24,61.799999,64.349998,61.299999,63.799999,63.799999,39413798
2021-02-25,64.949997,65.800003,64.400002,64.699997,64.699997,70565771
2021-02-26,63.500000,64.400002,62.400002,63.450001,63.450001,53553669
2021-03-01,64.349998,64.500000,62.700001,63.450001,63.450001,33031626
2021-03-02,63.750000,65.099998,63.400002,64.500000,64.500000,39385820
2021-03-03,64.800003,68.150002,64.500000,67.099998,67.099998,65259145
2021-03-04,65.949997,69.300003,65.599998,68.199997,68.199997,55584200
2021-03-05,68.000000,68.849998,65.949997,66.800003,66.800003,55030398
2021-03-08,67.400002,68.699997,67.000000,67.250000,67.250000,32067602
2021-03-09,67.750000,68.349998,65.599998,66.650002,66.650002,27400447
2021-03-10,67.250000,67.699997,66.349998,66.849998,66.849998,22266796
2021-03-12,67.300003,68.099998,65.300003,66.949997,66.949997,33728099
2021-03-15,67.199997,67.300003,63.700001,65.250000,65.250000,36991895
